rank_id,tag,feature_mode,ngram_range,min_df,max_df,max_features,sublinear_tf,seed,n_init,n_samples,n_clusters,vocab_size,acc,nmi,ari,silhouette_cosine,elapsed_seconds,cluster_to_label_mapping
39,800,char,"(2, 3)",3,0.9,30000,True,66,50,800,4,30000,0.8425,0.732695,0.657515,,10.1407,"{0: 0, 1: 2, 2: 3, 3: 1}"
42,800,char,"(2, 3)",3,0.9,40000,True,66,50,800,4,40000,0.8425,0.732695,0.657515,,11.3031,"{0: 0, 1: 2, 2: 3, 3: 1}"
48,800,char,"(2, 3)",3,0.95,30000,True,66,50,800,4,30000,0.8425,0.732695,0.657515,,10.6958,"{0: 0, 1: 2, 2: 3, 3: 1}"
51,800,char,"(2, 3)",3,0.95,40000,True,66,50,800,4,40000,0.8425,0.732695,0.657515,,13.8207,"{0: 0, 1: 2, 2: 3, 3: 1}"
81,800,char,"(2, 4)",2,0.9,60000,True,66,50,800,4,60000,0.8425,0.732695,0.657515,,19.8353,"{0: 2, 1: 0, 2: 3, 3: 1}"
90,800,char,"(2, 4)",2,0.95,60000,True,66,50,800,4,60000,0.8425,0.732695,0.657515,,20.3054,"{0: 2, 1: 0, 2: 3, 3: 1}"
43,800,char,"(2, 3)",3,0.9,60000,True,42,50,800,4,48415,0.8425,0.731892,0.657259,,13.2017,"{0: 2, 1: 1, 2: 3, 3: 0}"
52,800,char,"(2, 3)",3,0.95,60000,True,42,50,800,4,48415,0.8425,0.731892,0.657259,,14.1352,"{0: 2, 1: 1, 2: 3, 3: 0}"
27,800,char,"(2, 3)",2,0.9,60000,True,66,50,800,4,60000,0.84125,0.733619,0.65354,,15.924,"{0: 0, 1: 2, 2: 3, 3: 1}"
36,800,char,"(2, 3)",2,0.95,60000,True,66,50,800,4,60000,0.84125,0.733619,0.65354,,13.3268,"{0: 0, 1: 2, 2: 3, 3: 1}"
57,800,char,"(2, 4)",1,0.9,30000,True,66,50,800,4,30000,0.84125,0.732359,0.653498,,14.197,"{0: 2, 1: 3, 2: 0, 3: 1}"
66,800,char,"(2, 4)",1,0.95,30000,True,66,50,800,4,30000,0.84125,0.732359,0.653498,,14.3935,"{0: 2, 1: 3, 2: 0, 3: 1}"
99,800,char,"(2, 4)",3,0.9,60000,True,66,50,800,4,60000,0.84125,0.731968,0.655979,,20.4673,"{0: 2, 1: 0, 2: 1, 3: 3}"
108,800,char,"(2, 4)",3,0.95,60000,True,66,50,800,4,60000,0.84125,0.731968,0.655979,,20.384,"{0: 2, 1: 0, 2: 1, 3: 3}"
40,800,char,"(2, 3)",3,0.9,40000,True,42,50,800,4,40000,0.84,0.728958,0.650945,,12.325,"{0: 0, 1: 1, 2: 2, 3: 3}"
49,800,char,"(2, 3)",3,0.95,40000,True,42,50,800,4,40000,0.84,0.728958,0.650945,,18.5967,"{0: 0, 1: 1, 2: 2, 3: 3}"
45,800,char,"(2, 3)",3,0.9,60000,True,66,50,800,4,48415,0.84,0.727868,0.650589,,12.2675,"{0: 0, 1: 2, 2: 3, 3: 1}"
54,800,char,"(2, 3)",3,0.95,60000,True,66,50,800,4,48415,0.84,0.727868,0.650589,,13.2852,"{0: 0, 1: 2, 2: 3, 3: 1}"
56,800,char,"(2, 4)",1,0.9,30000,True,52,50,800,4,30000,0.83875,0.727711,0.64664,,15.6926,"{0: 0, 1: 1, 2: 2, 3: 3}"
65,800,char,"(2, 4)",1,0.95,30000,True,52,50,800,4,30000,0.83875,0.727711,0.64664,,14.2559,"{0: 0, 1: 1, 2: 2, 3: 3}"
4,800,char,"(2, 3)",1,0.9,40000,True,42,50,800,4,40000,0.83875,0.725523,0.647159,,7.1458,"{0: 0, 1: 1, 2: 2, 3: 3}"
13,800,char,"(2, 3)",1,0.95,40000,True,42,50,800,4,40000,0.83875,0.725523,0.647159,,13.1616,"{0: 0, 1: 1, 2: 2, 3: 3}"
55,800,char,"(2, 4)",1,0.9,30000,True,42,50,800,4,30000,0.8375,0.728978,0.642804,,15.0139,"{0: 1, 1: 3, 2: 2, 3: 0}"
64,800,char,"(2, 4)",1,0.95,30000,True,42,50,800,4,30000,0.8375,0.728978,0.642804,,14.2556,"{0: 1, 1: 3, 2: 2, 3: 0}"
80,800,char,"(2, 4)",2,0.9,60000,True,52,50,800,4,60000,0.8375,0.723517,0.642537,,20.0566,"{0: 0, 1: 1, 2: 2, 3: 3}"
89,800,char,"(2, 4)",2,0.95,60000,True,52,50,800,4,60000,0.8375,0.723517,0.642537,,20.5733,"{0: 0, 1: 1, 2: 2, 3: 3}"
79,800,char,"(2, 4)",2,0.9,60000,True,42,50,800,4,60000,0.8375,0.723222,0.643753,,20.2646,"{0: 0, 1: 1, 2: 2, 3: 3}"
88,800,char,"(2, 4)",2,0.95,60000,True,42,50,800,4,60000,0.8375,0.723222,0.643753,,20.8866,"{0: 0, 1: 1, 2: 2, 3: 3}"
19,800,char,"(2, 3)",2,0.9,30000,True,42,50,800,4,30000,0.83625,0.725662,0.639015,,11.5215,"{0: 1, 1: 3, 2: 2, 3: 0}"
28,800,char,"(2, 3)",2,0.95,30000,True,42,50,800,4,30000,0.83625,0.725662,0.639015,,11.1048,"{0: 1, 1: 3, 2: 2, 3: 0}"
147,800,char,"(3, 5)",3,0.9,30000,True,66,50,800,4,30000,0.6675,0.583002,0.389983,,17.3855,"{0: 2, 1: 1, 2: 3, 3: 0}"
150,800,char,"(3, 5)",3,0.9,40000,True,66,50,800,4,40000,0.6675,0.583002,0.389983,,19.0593,"{0: 2, 1: 1, 2: 3, 3: 0}"
156,800,char,"(3, 5)",3,0.95,30000,True,66,50,800,4,30000,0.6675,0.583002,0.389983,,17.8397,"{0: 2, 1: 1, 2: 3, 3: 0}"
159,800,char,"(3, 5)",3,0.95,40000,True,66,50,800,4,40000,0.6675,0.583002,0.389983,,18.5984,"{0: 2, 1: 1, 2: 3, 3: 0}"
135,800,char,"(3, 5)",2,0.9,60000,True,66,50,800,4,60000,0.66625,0.584738,0.387063,,20.6336,"{0: 0, 1: 1, 2: 3, 3: 2}"
144,800,char,"(3, 5)",2,0.95,60000,True,66,50,800,4,60000,0.66625,0.584738,0.387063,,20.7756,"{0: 0, 1: 1, 2: 3, 3: 2}"
153,800,char,"(3, 5)",3,0.9,60000,True,66,50,800,4,60000,0.66625,0.584738,0.387063,,21.7017,"{0: 0, 1: 1, 2: 3, 3: 2}"
162,800,char,"(3, 5)",3,0.95,60000,True,66,50,800,4,60000,0.66625,0.584738,0.387063,,20.2403,"{0: 0, 1: 1, 2: 3, 3: 2}"
117,800,char,"(3, 5)",1,0.9,60000,True,66,50,800,4,60000,0.665,0.581049,0.383286,,20.739,"{0: 0, 1: 1, 2: 3, 3: 2}"
126,800,char,"(3, 5)",1,0.95,60000,True,66,50,800,4,60000,0.665,0.581049,0.383286,,23.431,"{0: 0, 1: 1, 2: 3, 3: 2}"
129,800,char,"(3, 5)",2,0.9,30000,True,66,50,800,4,30000,0.665,0.575522,0.382418,,17.6067,"{0: 3, 1: 0, 2: 1, 3: 2}"
138,800,char,"(3, 5)",2,0.95,30000,True,66,50,800,4,30000,0.665,0.575522,0.382418,,18.5696,"{0: 3, 1: 0, 2: 1, 3: 2}"
152,800,char,"(3, 5)",3,0.9,60000,True,52,50,800,4,60000,0.665,0.575522,0.382418,,21.138,"{0: 0, 1: 2, 2: 3, 3: 1}"
161,800,char,"(3, 5)",3,0.95,60000,True,52,50,800,4,60000,0.665,0.575522,0.382418,,21.5662,"{0: 0, 1: 2, 2: 3, 3: 1}"
114,800,char,"(3, 5)",1,0.9,40000,True,66,50,800,4,40000,0.66375,0.579708,0.377212,,19.0007,"{0: 0, 1: 1, 2: 3, 3: 2}"
123,800,char,"(3, 5)",1,0.95,40000,True,66,50,800,4,40000,0.66375,0.579708,0.377212,,18.6477,"{0: 0, 1: 1, 2: 3, 3: 2}"
132,800,char,"(3, 5)",2,0.9,40000,True,66,50,800,4,40000,0.66375,0.579708,0.377212,,18.1886,"{0: 0, 1: 1, 2: 3, 3: 2}"
141,800,char,"(3, 5)",2,0.95,40000,True,66,50,800,4,40000,0.66375,0.579708,0.377212,,21.0308,"{0: 0, 1: 1, 2: 3, 3: 2}"
116,800,char,"(3, 5)",1,0.9,60000,True,52,50,800,4,60000,0.66375,0.571936,0.378673,,20.7788,"{0: 0, 1: 1, 2: 2, 3: 3}"
125,800,char,"(3, 5)",1,0.95,60000,True,52,50,800,4,60000,0.66375,0.571936,0.378673,,21.8493,"{0: 0, 1: 1, 2: 2, 3: 3}"
128,800,char,"(3, 5)",2,0.9,30000,True,52,50,800,4,30000,0.655,0.557151,0.351777,,16.8538,"{0: 0, 1: 3, 2: 2, 3: 1}"
137,800,char,"(3, 5)",2,0.95,30000,True,52,50,800,4,30000,0.655,0.557151,0.351777,,17.9368,"{0: 0, 1: 3, 2: 2, 3: 1}"
146,800,char,"(3, 5)",3,0.9,30000,True,52,50,800,4,30000,0.655,0.557151,0.351777,,17.0993,"{0: 0, 1: 3, 2: 2, 3: 1}"
155,800,char,"(3, 5)",3,0.95,30000,True,52,50,800,4,30000,0.655,0.557151,0.351777,,17.858,"{0: 0, 1: 3, 2: 2, 3: 1}"
149,800,char,"(3, 5)",3,0.9,40000,True,52,50,800,4,40000,0.6525,0.551216,0.344736,,18.8649,"{0: 0, 1: 3, 2: 2, 3: 1}"
158,800,char,"(3, 5)",3,0.95,40000,True,52,50,800,4,40000,0.6525,0.551216,0.344736,,18.2951,"{0: 0, 1: 3, 2: 2, 3: 1}"
113,800,char,"(3, 5)",1,0.9,40000,True,52,50,800,4,40000,0.64875,0.542653,0.334362,,18.841,"{0: 0, 1: 3, 2: 2, 3: 1}"
122,800,char,"(3, 5)",1,0.95,40000,True,52,50,800,4,40000,0.64875,0.542653,0.334362,,19.2724,"{0: 0, 1: 3, 2: 2, 3: 1}"
145,800,char,"(3, 5)",3,0.9,30000,True,42,50,800,4,30000,0.625,0.455725,0.208273,,17.8679,"{0: 2, 1: 1, 2: 0, 3: 3}"
154,800,char,"(3, 5)",3,0.95,30000,True,42,50,800,4,30000,0.625,0.455725,0.208273,,17.6247,"{0: 2, 1: 1, 2: 0, 3: 3}"
151,800,char,"(3, 5)",3,0.9,60000,True,42,50,800,4,60000,0.62375,0.454195,0.206223,,20.8602,"{0: 2, 1: 1, 2: 0, 3: 3}"
160,800,char,"(3, 5)",3,0.95,60000,True,42,50,800,4,60000,0.62375,0.454195,0.206223,,20.5065,"{0: 2, 1: 1, 2: 0, 3: 3}"
109,800,char,"(3, 5)",1,0.9,30000,True,42,50,800,4,30000,0.61375,0.443507,0.192857,,18.373,"{0: 3, 1: 1, 2: 0, 3: 2}"
118,800,char,"(3, 5)",1,0.95,30000,True,42,50,800,4,30000,0.61375,0.443507,0.192857,,18.5408,"{0: 3, 1: 1, 2: 0, 3: 2}"
115,800,char,"(3, 5)",1,0.9,60000,True,42,50,800,4,60000,0.6125,0.441294,0.189583,,20.5823,"{0: 3, 1: 1, 2: 0, 3: 2}"
124,800,char,"(3, 5)",1,0.95,60000,True,42,50,800,4,60000,0.6125,0.441294,0.189583,,26.8543,"{0: 3, 1: 1, 2: 0, 3: 2}"
148,800,char,"(3, 5)",3,0.9,40000,True,42,50,800,4,40000,0.61125,0.444489,0.196206,,19.0959,"{0: 3, 1: 1, 2: 0, 3: 2}"
157,800,char,"(3, 5)",3,0.95,40000,True,42,50,800,4,40000,0.61125,0.444489,0.196206,,19.1428,"{0: 3, 1: 1, 2: 0, 3: 2}"
112,800,char,"(3, 5)",1,0.9,40000,True,42,50,800,4,40000,0.61,0.440672,0.190071,,19.1093,"{0: 0, 1: 2, 2: 3, 3: 1}"
121,800,char,"(3, 5)",1,0.95,40000,True,42,50,800,4,40000,0.61,0.440672,0.190071,,18.9667,"{0: 0, 1: 2, 2: 3, 3: 1}"
127,800,char,"(3, 5)",2,0.9,30000,True,42,50,800,4,30000,0.605,0.434245,0.181629,,17.3556,"{0: 3, 1: 2, 2: 0, 3: 1}"
136,800,char,"(3, 5)",2,0.95,30000,True,42,50,800,4,30000,0.605,0.434245,0.181629,,18.2986,"{0: 3, 1: 2, 2: 0, 3: 1}"
130,800,char,"(3, 5)",2,0.9,40000,True,42,50,800,4,40000,0.60125,0.432317,0.180678,,19.1076,"{0: 3, 1: 1, 2: 0, 3: 2}"
139,800,char,"(3, 5)",2,0.95,40000,True,42,50,800,4,40000,0.60125,0.432317,0.180678,,19.6881,"{0: 3, 1: 1, 2: 0, 3: 2}"
133,800,char,"(3, 5)",2,0.9,60000,True,42,50,800,4,60000,0.6,0.430349,0.177934,,20.6668,"{0: 1, 1: 3, 2: 0, 3: 2}"
142,800,char,"(3, 5)",2,0.95,60000,True,42,50,800,4,60000,0.6,0.430349,0.177934,,21.3477,"{0: 1, 1: 3, 2: 0, 3: 2}"
110,800,char,"(3, 5)",1,0.9,30000,True,52,50,800,4,30000,0.52625,0.361558,0.115434,,17.9616,"{0: 3, 1: 1, 2: 2, 3: 0}"
119,800,char,"(3, 5)",1,0.95,30000,True,52,50,800,4,30000,0.52625,0.361558,0.115434,,17.9702,"{0: 3, 1: 1, 2: 2, 3: 0}"
134,800,char,"(3, 5)",2,0.9,60000,True,52,50,800,4,60000,0.52625,0.36125,0.114922,,20.3721,"{0: 0, 1: 3, 2: 2, 3: 1}"
143,800,char,"(3, 5)",2,0.95,60000,True,52,50,800,4,60000,0.52625,0.36125,0.114922,,20.979,"{0: 0, 1: 3, 2: 2, 3: 1}"
111,800,char,"(3, 5)",1,0.9,30000,True,66,50,800,4,30000,0.525,0.359933,0.113799,,18.2319,"{0: 3, 1: 2, 2: 1, 3: 0}"
120,800,char,"(3, 5)",1,0.95,30000,True,66,50,800,4,30000,0.525,0.359933,0.113799,,18.0206,"{0: 3, 1: 2, 2: 1, 3: 0}"
131,800,char,"(3, 5)",2,0.9,40000,True,52,50,800,4,40000,0.525,0.359933,0.113799,,18.405,"{0: 3, 1: 1, 2: 2, 3: 0}"
140,800,char,"(3, 5)",2,0.95,40000,True,52,50,800,4,40000,0.525,0.359933,0.113799,,20.9823,"{0: 3, 1: 1, 2: 2, 3: 0}"
